budget,popularity,runtime,size_of_cast,number_of_spoken_languages,num_production_companies,genre_Count,release_year
14000000,6.575393,93.0,24.0,1.0,3.0,1,2015
40000000,8.248895,113.0,20.0,1.0,1.0,4,2004
3300000,64.29999,105.0,51.0,1.0,3.0,1,2014
1200000,3.174936,122.0,7.0,2.0,3.0,2,2012
8000000,0.743274,83.0,14.0,1.0,2.0,2,1987
14000000,7.286477,92.0,20.0,1.0,1.0,2,2012
6000000,4.672036,91.0,59.0,2.0,4.0,2,2003
1000000,14.774066,119.0,23.0,2.0,7.0,4,1976
15000000,20.726578,122.0,24.0,2.0,3.0,2,1999
53000000,13.314233,118.0,23.0,2.0,4.0,2,2005
102000000,20.666063,145.0,10.0,3.0,7.0,3,2002
500000,1.018477,97.0,20.0,1.0,4.0,3,2010
26000000,6.336927,85.0,16.0,1.0,2.0,2,2005
8000000,6.496259,96.0,24.0,1.0,3.0,3,2011
32000000,11.359659,87.0,33.0,2.0,4.0,1,2005
80000000,12.000579,130.0,11.0,1.0,1.0,4,1998
4000000,7.99229,95.0,32.0,2.0,8.0,2,1982
10000000,4.305735,110.0,14.0,3.0,2.0,2,1997
11000000,10.841891,93.0,32.0,1.0,2.0,2,2013
6000000,6.759181,84.0,11.0,2.0,2.0,1,1986
45000000,7.81862,89.0,32.0,1.0,3.0,1,2002
13000000,16.086919,112.0,10.0,1.0,3.0,2,2011
90000000,13.412445,106.0,42.0,1.0,2.0,4,2015
140000000,9.718111,91.0,17.0,1.0,1.0,4,2007
30000000,8.234382,94.0,9.0,1.0,3.0,3,2012
50000000,13.676444,127.0,30.0,1.0,4.0,1,1995
3800000,3.055936,123.0,7.0,2.0,1.0,3,1965
3000000,9.718713,126.0,15.0,2.0,1.0,1,1967
25000000,2.971999,108.0,16.0,1.0,3.0,2,2000
6000000,9.383088,92.0,14.0,2.0,2.0,2,2014
15000000,5.615303,88.0,9.0,1.0,1.0,1,2005
3906840,2.382068,95.0,16.0,1.0,2.0,2,2009
80000000,16.646029,91.0,56.0,1.0,1.0,2,2006
44000000,20.328822,167.0,56.0,2.0,1.0,4,2015
38000000,8.105708,118.0,15.0,1.0,2.0,2,1994
560000,1.572904,102.0,16.0,1.0,1.0,2,2008
12000000,4.473327,160.0,16.0,1.0,1.0,2,1965
20000000,8.759801,107.0,31.0,3.0,5.0,2,2016
125000000,17.038824,125.0,20.0,1.0,6.0,4,1997
14000000,3.909079,95.0,6.0,1.0,2.0,2,2002
150000000,23.065078,144.0,21.0,2.0,2.0,6,2006
4000000,1.801071,105.0,19.0,1.0,1.0,1,1956
5000000,7.743144,100.0,41.0,1.0,3.0,2,1989
12000000,11.160699,115.0,36.0,3.0,3.0,2,2013
1500000,8.822276,92.0,29.0,2.0,3.0,4,1988
12000000,5.145185,108.0,71.0,2.0,5.0,3,2010
2000000,14.284787,129.0,8.0,2.0,1.0,4,1962
85000000,2.238808,104.0,11.0,2.0,1.0,3,2006
29000000,12.092096,103.0,14.0,1.0,4.0,5,2005
11000000,8.290384,85.0,14.0,1.0,5.0,1,1990
445000,2.482536,84.0,55.0,4.0,3.0,4,1976
17000000,9.665251,106.0,6.0,1.0,2.0,3,2011
500000,0.660663,157.0,18.0,1.0,1.0,3,2000
6000000,10.451986,98.0,10.0,1.0,7.0,4,1980
1500000,6.636625,102.0,26.0,1.0,8.0,5,2016
15000000,4.98408,118.0,13.0,1.0,2.0,3,2002
10284523,4.349046,104.0,26.0,1.0,3.0,3,2005
43000000,10.947957,104.0,11.0,1.0,1.0,2,2005
28000000,7.482865,116.0,15.0,3.0,1.0,3,1984
2000000,10.239941,85.0,16.0,3.0,1.0,4,2011
50000000,7.260574,109.0,11.0,1.0,1.0,4,1995
8000000,9.741644,105.0,51.0,1.0,1.0,5,1979
7500000,12.314278,91.0,15.0,2.0,2.0,3,1995
20000000,13.655178,126.0,23.0,3.0,3.0,3,2017
30000000,25.261865,111.0,16.0,1.0,2.0,4,2003
35000000,1.690768,135.0,18.0,1.0,2.0,1,1995
15000000,18.184056,147.0,22.0,2.0,3.0,2,2001
2500000,2.942355,98.0,30.0,1.0,3.0,2,2011
10500000,11.003515,90.0,36.0,1.0,1.0,1,2012
6000000,5.529808,120.0,31.0,3.0,6.0,4,1988
7000000,7.958502,91.0,13.0,1.0,2.0,3,1990
60000000,11.93646,135.0,15.0,1.0,1.0,2,2001
10900000,13.454169,105.0,9.0,1.0,9.0,3,2013
31000000,6.523155,105.0,19.0,1.0,4.0,1,2010
72000000,20.755149,177.0,12.0,1.0,5.0,4,1995
14000000,3.873796,97.0,8.0,1.0,3.0,1,1999
15000000,3.210693,189.0,15.0,1.0,4.0,4,1966
75000000,13.136791,123.0,16.0,1.0,1.0,2,2001
35000000,5.093704,111.0,15.0,1.0,2.0,2,2004
100000000,11.696923,122.0,6.0,1.0,1.0,2,2015
20000000,4.619593,106.0,13.0,4.0,1.0,2,1988
93000000,32.070725,178.0,15.0,2.0,5.0,2,2001
25000000,5.00725,86.0,20.0,1.0,3.0,4,2002
12716953,6.183021,113.0,15.0,1.0,2.0,1,1997
90000000,8.345985,90.0,15.0,1.0,9.0,1,2001
150000000,12.453452,88.0,30.0,1.0,4.0,3,1999
1500000,1.961208,94.0,12.0,1.0,4.0,3,1990
25000000,8.369176,115.0,23.0,1.0,1.0,4,2000
7500000,16.376657,95.0,24.0,2.0,1.0,3,2009
40000000,14.622493,125.0,18.0,1.0,5.0,3,2008
10000000,7.886926,111.0,24.0,3.0,4.0,4,2000
18000000,9.929809,100.0,15.0,1.0,1.0,2,2005
2400000,5.230661,120.0,12.0,1.0,1.0,1,1996
4000000,10.130541,90.0,11.0,1.0,1.0,2,2013
6000000,8.278079,93.0,32.0,1.0,3.0,2,2011
65000000,11.73956,95.0,30.0,1.0,4.0,3,2010
10000000,11.840495,100.0,12.0,1.0,1.0,2,2007
2000000,1.372493,90.0,8.0,2.0,1.0,1,2006
9000000,8.888278,79.0,47.0,1.0,2.0,3,1994
110000000,0.913096,133.0,45.0,1.0,2.0,3,2003
14320000,0.585397,176.0,21.0,1.0,3.0,5,1968
3500000,5.353826,108.0,21.0,1.0,2.0,3,2016
18000000,6.675032,98.0,6.0,1.0,1.0,3,2008
4000000,6.216637,108.0,23.0,1.0,5.0,3,1967
39200000,14.131906,126.0,21.0,2.0,2.0,2,2013
25000000,5.405958,113.0,20.0,1.0,1.0,1,2012
4000000,10.200398,91.0,16.0,3.0,1.0,2,2015
20000000,8.759774,72.0,5.0,4.0,5.0,3,2002
3500000,0.768181,126.0,5.0,1.0,3.0,3,2005
63600000,6.047757,102.0,51.0,1.0,5.0,4,2000
32000000,7.54701,107.0,29.0,1.0,1.0,2,1995
3500000,4.456904,98.0,44.0,3.0,1.0,2,2006
125000,10.850569,90.0,26.0,6.0,7.0,3,2011
9000000,5.997054,93.0,9.0,1.0,2.0,2,1998
40000000,9.825841,99.0,34.0,4.0,6.0,4,2007
19000000,10.966015,122.0,15.0,1.0,1.0,4,2005
5000000,6.501177,113.0,12.0,1.0,2.0,3,1975
2000000,11.189831,95.0,11.0,1.0,3.0,3,1981
3500000,8.55931,121.0,53.0,2.0,5.0,3,1966
11000000,8.929393,98.0,18.0,4.0,2.0,1,1991
12468389,6.116093,97.0,53.0,1.0,5.0,1,2011
38000000,1.406181,106.0,31.0,2.0,4.0,2,2001
90000000,5.496624,91.0,10.0,1.0,3.0,2,2000
15000000,14.778884,93.0,36.0,1.0,6.0,2,1982
32000000,11.137888,133.0,14.0,1.0,1.0,5,1989
30000000,5.844016,130.0,23.0,1.0,6.0,1,2008
6000000,9.534232,141.0,25.0,2.0,4.0,2,2010
82500000,9.796552,107.0,20.0,1.0,3.0,3,2006
14000000,1.36737,93.0,19.0,1.0,2.0,2,1997
5000000,3.172765,95.0,24.0,1.0,2.0,1,2006
259000,0.722511,65.0,23.0,1.0,3.0,2,1928
180000000,16.088366,98.0,18.0,1.0,1.0,2,2008
4000000,5.263187,86.0,6.0,1.0,3.0,3,1996
40000000,7.271503,110.0,62.0,3.0,4.0,4,2012
4500000,3.311392,97.0,8.0,1.0,2.0,3,2009
7000000,0.861473,87.0,28.0,2.0,7.0,3,1988
60000000,12.915358,108.0,10.0,1.0,5.0,4,2006
24000000,3.69298,107.0,46.0,1.0,3.0,2,2000
12600000,11.695036,106.0,8.0,1.0,1.0,2,2014
85000000,10.254314,97.0,16.0,1.0,2.0,4,2006
10000000,11.509677,100.0,29.0,1.0,3.0,3,1988
55000000,7.713231,91.0,36.0,1.0,2.0,3,2013
75000000,14.302911,87.0,79.0,3.0,3.0,2,2007
3200000,6.174699,94.0,51.0,1.0,3.0,3,1985
2000000,5.396271,97.0,23.0,2.0,6.0,1,2015
15000000,7.024227,92.0,7.0,2.0,2.0,1,1995
100000000,8.140709,136.0,15.0,1.0,2.0,2,2004
22000000,7.145784,105.0,18.0,1.0,1.0,2,1997
7000000,19.726114,124.0,30.0,4.0,3.0,3,1975
6700000,1.312833,143.0,29.0,2.0,3.0,2,2012
20000000,13.132127,105.0,11.0,1.0,1.0,2,2012
35000000,7.321172,111.0,34.0,2.0,3.0,1,2013
35000000,6.493765,90.0,19.0,1.0,3.0,3,2014
10000000,11.341505,106.0,23.0,2.0,1.0,2,1981
2600000,2.203949,105.0,41.0,1.0,2.0,4,2004
12000000,7.216103,132.0,74.0,1.0,3.0,3,2009
5000000,1.608163,98.0,24.0,1.0,7.0,4,2010
49000000,16.628427,127.0,11.0,3.0,1.0,3,1992
50000000,7.668829,105.0,19.0,2.0,9.0,4,2011
7500000,8.593196,100.0,14.0,1.0,2.0,4,2009
6244087,11.722424,145.0,6.0,1.0,1.0,3,1969
14000000,1.596058,139.0,16.0,1.0,3.0,3,1995
110000000,7.825072,120.0,24.0,1.0,1.0,1,2004
800000,0.941994,114.0,18.0,2.0,6.0,4,1993
30000000,21.791111,140.0,18.0,3.0,1.0,3,2016
15000000,3.450402,87.0,14.0,2.0,1.0,1,1996
22000000,11.945397,127.0,17.0,2.0,3.0,1,1990
20000000,5.270187,118.0,10.0,1.0,2.0,2,2002
70000000,6.660309,88.0,29.0,1.0,6.0,3,2013
19000000,9.106146,109.0,18.0,1.0,6.0,2,2008
23000000,14.13488,101.0,24.0,2.0,3.0,3,1994
18339750,7.69224,156.0,9.0,1.0,1.0,2,2004
102000000,9.646208,99.0,17.0,2.0,6.0,2,2001
7920000,11.162277,140.0,16.0,3.0,10.0,5,1978
12560000,4.052991,105.0,28.0,1.0,2.0,3,2001
98000000,7.284477,119.0,19.0,1.0,4.0,3,1995
8500000,6.57613,104.0,18.0,1.0,6.0,2,2004
9500000,5.847166,88.0,14.0,3.0,16.0,2,2013
55000000,10.758754,121.0,56.0,4.0,5.0,2,2015
1000000,1.157582,89.0,10.0,1.0,3.0,1,1956
50000000,11.511424,99.0,17.0,1.0,2.0,3,2006
10000000,2.849779,99.0,17.0,1.0,2.0,1,1987
15000000,10.271871,135.0,44.0,4.0,2.0,3,2002
15000000,15.423538,148.0,15.0,1.0,2.0,3,2007
40000000,8.778999,93.0,15.0,3.0,5.0,3,2006
21000000,8.425361,99.0,73.0,1.0,3.0,1,2011
72500000,6.936688,116.0,8.0,3.0,2.0,2,2006
12000000,5.845712,94.0,6.0,1.0,2.0,2,1990
50000000,12.285545,87.0,20.0,1.0,6.0,4,2010
65000000,10.237996,119.0,26.0,1.0,3.0,1,1998
2915739,0.558002,132.0,5.0,1.0,1.0,3,2009
70000000,18.324219,98.0,20.0,1.0,2.0,2,1998
65000000,13.455112,120.0,15.0,2.0,1.0,6,2004
30000000,14.811958,95.0,20.0,2.0,3.0,2,2012
12000000,1.575026,100.0,10.0,4.0,3.0,2,1998
19000000,4.249948,130.0,11.0,1.0,3.0,3,2008
7000000,7.45279,109.0,15.0,2.0,2.0,3,2012
25000000,3.596317,95.0,22.0,1.0,4.0,1,1996
9000000,28.920839,117.0,22.0,4.0,1.0,3,2016
24000000,11.269558,110.0,12.0,1.0,5.0,2,2003
28000000,13.856199,87.0,21.0,2.0,2.0,1,1994
6000000,8.990345,117.0,22.0,1.0,3.0,2,1994
16000000,12.153493,99.0,15.0,2.0,1.0,1,2007
65000000,10.543955,137.0,16.0,1.0,4.0,4,2014
160000000,26.628178,137.0,5.0,1.0,3.0,2,2015
60000000,4.924078,104.0,9.0,1.0,1.0,2,2002
25000000,8.364587,101.0,29.0,2.0,4.0,2,2003
3000000,1.739182,89.0,11.0,1.0,1.0,3,1991
9000000,1.80809,94.0,8.0,1.0,3.0,2,1991
11000000,15.750026,96.0,6.0,1.0,2.0,2,1990
225000,1.533379,87.0,9.0,2.0,1.0,3,1933
100000000,14.922399,167.0,22.0,1.0,4.0,3,2002
100000000,12.36223,101.0,14.0,2.0,4.0,4,2009
108000000,19.94393,129.0,60.0,1.0,1.0,4,2016
30000000,4.902869,104.0,17.0,3.0,2.0,3,2004
26000000,7.867999,97.0,16.0,2.0,2.0,2,2003
15000000,10.445867,96.0,28.0,1.0,3.0,1,2009
9500000,8.59498,168.0,42.0,1.0,6.0,2,2012
16000000,1.758079,97.0,27.0,3.0,2.0,2,2004
175000000,19.148182,109.0,18.0,1.0,2.0,4,2017
55000000,11.672394,141.0,38.0,2.0,3.0,2,2008
60000000,10.271517,88.0,20.0,2.0,16.0,4,2012
115000000,15.232738,109.0,11.0,6.0,5.0,2,2013
20000000,9.570657,126.0,15.0,1.0,3.0,3,2006
12000000,10.312017,113.0,25.0,2.0,1.0,2,1985
85000000,14.170183,106.0,38.0,1.0,4.0,3,2012
135000000,23.501228,156.0,16.0,1.0,2.0,3,2015
90000000,9.112008,100.0,15.0,1.0,3.0,2,1999
12000000,7.569698,83.0,108.0,1.0,2.0,3,1987
71000000,9.439079,85.0,4.0,1.0,2.0,3,1998
26000000,10.177303,102.0,15.0,1.0,1.0,1,1996
40000000,8.062578,108.0,22.0,1.0,3.0,1,2011
15000000,4.582024,117.0,23.0,1.0,9.0,1,2010
100000000,15.088318,108.0,2.0,2.0,3.0,0,2006
23000000,10.861339,139.0,15.0,2.0,1.0,3,2009
5000000,6.226054,97.0,9.0,2.0,3.0,4,2007
25000000,9.453942,124.0,29.0,1.0,3.0,2,2014
75000000,17.852022,115.0,10.0,2.0,3.0,4,2013
30000000,9.783762,118.0,17.0,1.0,1.0,3,2005
11000000,2.27258,124.0,17.0,1.0,2.0,1,1970
27000000,12.235391,115.0,21.0,1.0,2.0,2,1997
60000000,11.234862,105.0,5.0,1.0,1.0,3,2014
36000000,14.575883,97.0,8.0,1.0,6.0,4,2016
1000000,11.267366,117.0,10.0,1.0,4.0,4,1984
350000,2.96237,85.0,15.0,1.0,2.0,2,2004
110000000,13.1984,107.0,10.0,1.0,2.0,3,2016
7200000,12.00491,120.0,15.0,1.0,1.0,3,1971
7000000,2.483032,93.0,13.0,1.0,4.0,3,2001
20500000,8.333526,102.0,78.0,1.0,2.0,3,2008
130000000,8.946243,124.0,16.0,3.0,4.0,2,2005
45000000,21.605761,89.0,31.0,1.0,2.0,3,1994
75000000,7.970031,99.0,11.0,1.0,3.0,1,1998
65000000,12.738789,136.0,22.0,1.0,2.0,2,2009
2200000,1.132835,154.0,15.0,1.0,6.0,4,2010
3300000,4.445867,120.0,12.0,1.0,1.0,3,2015
15400000,8.400049,123.0,13.0,1.0,1.0,2,2012
90000000,11.3569,157.0,45.0,4.0,1.0,2,1999
12000000,7.88371,99.0,28.0,1.0,3.0,1,2014
3300000,5.840554,83.0,40.0,1.0,2.0,2,2015
13100000,1.417392,140.0,16.0,1.0,6.0,3,2011
40000000,11.185625,106.0,19.0,1.0,3.0,2,2001
4500000,6.583161,97.0,34.0,4.0,4.0,3,1985
500000,2.884359,97.0,22.0,1.0,3.0,5,1977
16000000,6.918821,112.0,24.0,1.0,1.0,1,1981
30000000,5.154373,79.0,8.0,1.0,1.0,2,1998
14000000,7.495853,115.0,12.0,3.0,4.0,4,1990
35000000,11.836827,76.0,8.0,1.0,2.0,2,2005
100000000,12.477872,143.0,1.0,1.0,3.0,1,2006
74500000,5.300303,109.0,26.0,1.0,2.0,3,2004
8000000,5.137903,98.0,51.0,3.0,2.0,2,1993
55000000,10.571434,163.0,17.0,1.0,3.0,2,1999
25000000,10.19853,90.0,11.0,1.0,3.0,3,2007
36000000,2.151436,189.0,11.0,1.0,1.0,4,1991
20000000,4.850968,85.0,32.0,1.0,3.0,3,2011
75000000,9.409379,106.0,14.0,1.0,2.0,2,2003
6843500,3.800073,0.0,21.0,1.0,3.0,4,2012
7075038,10.181,140.0,15.0,1.0,5.0,2,2017
60000000,7.898202,89.0,45.0,1.0,8.0,3,1996
18000000,6.693055,95.0,11.0,1.0,3.0,2,1981
40000000,15.228794,112.0,9.0,3.0,1.0,2,1992
13000000,5.305311,95.0,55.0,1.0,4.0,2,1994
30000000,9.378926,98.0,27.0,2.0,3.0,1,2005
3000000,0.904409,155.0,24.0,3.0,3.0,5,2002
17000000,7.417157,100.0,22.0,2.0,2.0,3,1997
30000000,11.781895,102.0,27.0,1.0,2.0,1,1992
19000000,7.923639,125.0,20.0,1.0,4.0,4,1997
10000000,15.109261,90.0,9.0,1.0,5.0,1,1989
18500000,21.761179,137.0,21.0,1.0,2.0,3,1986
87000000,7.851669,141.0,35.0,1.0,2.0,1,2003
28000000,7.598422,115.0,18.0,1.0,9.0,2,2013
800000,0.170979,83.0,33.0,2.0,4.0,4,2006
65000000,7.446085,83.0,9.0,1.0,2.0,1,2012
60000000,14.039655,116.0,7.0,2.0,3.0,1,1999
2000000,14.379879,100.0,74.0,1.0,4.0,2,2003
3750000,0.597058,155.0,17.0,3.0,5.0,2,2010
30000000,11.43256,94.0,21.0,2.0,3.0,3,2011
19000000,6.701138,91.0,27.0,1.0,3.0,2,1986
2900000,10.92143,90.0,13.0,2.0,4.0,1,2009
26000000,7.254242,111.0,22.0,2.0,5.0,2,2012
9000000,1.139949,100.0,15.0,1.0,1.0,3,2007
6000000,5.414213,89.0,16.0,1.0,4.0,4,2007
810000,3.099222,106.0,11.0,1.0,2.0,4,1977
40000000,16.94556,130.0,49.0,1.0,1.0,3,2006
10000000,6.737797,116.0,11.0,1.0,3.0,1,2016
13000000,12.994939,113.0,21.0,3.0,4.0,5,2004
16000000,2.488424,113.0,8.0,2.0,3.0,3,2000
57000000,9.958406,123.0,13.0,1.0,5.0,2,2001
13000000,6.862146,104.0,11.0,1.0,1.0,2,2006
40000000,8.739991,88.0,34.0,1.0,2.0,1,2003
7000000,6.924072,108.0,8.0,1.0,1.0,4,1988
762241,4.860265,140.0,36.0,1.0,4.0,2,2016
110000000,12.904677,102.0,22.0,1.0,2.0,5,2014
10300000,6.165491,120.0,28.0,2.0,4.0,1,2016
14000000,8.226,97.0,20.0,4.0,3.0,6,2009
30000000,14.404764,89.0,13.0,1.0,1.0,4,1995
85000000,12.173291,124.0,19.0,1.0,5.0,4,1997
80000000,4.980191,110.0,17.0,1.0,6.0,4,2005
23000000,5.950792,111.0,13.0,2.0,3.0,3,2004
5000000,6.546551,93.0,27.0,1.0,4.0,6,1992
1288000,8.590813,130.0,32.0,1.0,1.0,3,1940
250000,0.003013,82.0,31.0,6.0,6.0,2,1992
18000000,6.344961,94.0,31.0,1.0,3.0,1,2016
7000000,6.950458,104.0,20.0,1.0,2.0,4,1995
22000000,9.627676,110.0,23.0,2.0,3.0,6,2007
90000000,14.374866,150.0,8.0,1.0,4.0,2,1997
3000000,2.428279,100.0,17.0,1.0,2.0,1,1990
17000000,11.673366,99.0,19.0,2.0,3.0,3,1982
16500000,6.463883,108.0,77.0,1.0,8.0,3,2007
16000000,12.260159,100.0,25.0,3.0,2.0,2,2013
2000000,0.079856,120.0,32.0,1.0,4.0,2,2003
35000000,23.947351,100.0,22.0,1.0,6.0,1,2009
19000000,8.560694,99.0,49.0,1.0,1.0,1,1991
15000000,1.652275,99.0,7.0,1.0,2.0,4,2001
25000000,4.037707,85.0,53.0,1.0,6.0,3,2010
18000000,2.471038,100.0,23.0,5.0,5.0,1,1992
3200000,5.510288,100.0,8.0,1.0,3.0,3,2016
20000000,6.679168,92.0,22.0,1.0,2.0,3,2006
10500000,1.970481,149.0,23.0,5.0,5.0,4,2009
48000000,4.556123,132.0,46.0,2.0,2.0,4,2001
13500000,3.531089,129.0,122.0,1.0,4.0,4,2015
25000000,5.481452,122.0,16.0,1.0,2.0,3,2010
60000000,7.685548,170.0,112.0,4.0,4.0,3,1998
4500000,1.833185,65.0,60.0,1.0,1.0,3,2006
9000000,27.756026,104.0,10.0,1.0,3.0,6,2014
250000,1.924535,85.0,16.0,1.0,1.0,2,1991
590235,8.888393,92.0,17.0,1.0,2.0,4,2009
35000000,5.80986,92.0,27.0,1.0,3.0,2,2007
12000000,8.435294,95.0,19.0,1.0,3.0,2,2012
2000000,2.300459,97.0,17.0,1.0,2.0,3,2009
25000000,10.323838,99.0,22.0,1.0,2.0,2,1997
2800000,12.560942,80.0,43.0,1.0,4.0,2,2017
15000000,18.451321,84.0,15.0,1.0,3.0,1,1992
80000000,11.760218,89.0,20.0,1.0,1.0,3,2015
57000000,11.82081,123.0,31.0,1.0,6.0,3,2005
25000000,4.558992,128.0,7.0,1.0,6.0,3,1995
10000000,5.3584,109.0,12.0,1.0,1.0,3,2011
25000000,10.510245,104.0,18.0,1.0,2.0,2,2008
60000000,8.462364,131.0,6.0,1.0,4.0,1,1998
6500000,9.312354,89.0,14.0,1.0,1.0,5,2014
910000,18.211093,108.0,37.0,2.0,5.0,4,1954
22000000,9.863789,100.0,18.0,1.0,3.0,5,2017
27000000,8.907074,99.0,12.0,1.0,2.0,5,1994
12000000,5.875606,99.0,18.0,1.0,1.0,3,1999
2000000,0.570021,156.0,8.0,1.0,2.0,3,2000
15000000,11.85302,123.0,41.0,1.0,2.0,4,2014
149000000,294.337037,141.0,8.0,1.0,2.0,4,2017
32000000,8.074218,137.0,76.0,1.0,1.0,3,2012
30000000,8.142166,108.0,15.0,1.0,3.0,1,2001
10000000,7.412826,105.0,52.0,1.0,3.0,3,2014
13000000,11.14704,220.0,20.0,3.0,4.0,3,1956
4000000,6.780752,99.0,55.0,1.0,1.0,5,2011
20000000,8.34835,109.0,23.0,1.0,8.0,1,2011
62000000,6.258666,87.0,29.0,2.0,1.0,3,2008
78146652,9.097953,125.0,23.0,1.0,4.0,3,2009
28000000,6.053567,103.0,30.0,3.0,6.0,3,2006
4100000,3.826281,135.0,19.0,3.0,5.0,2,1953
18000000,6.41742,107.0,20.0,1.0,1.0,2,1986
40000000,9.034929,107.0,25.0,1.0,5.0,3,2010
4000000,4.661689,105.0,42.0,1.0,5.0,5,2007
45000000,11.221186,160.0,45.0,1.0,2.0,2,2008
3000000,0.527297,113.0,20.0,1.0,3.0,1,2002
75000000,13.249824,136.0,34.0,1.0,4.0,2,1996
48000000,14.788987,127.0,22.0,1.0,7.0,5,1989
150000000,11.30428,111.0,38.0,1.0,3.0,3,2015
6900000,6.8652,102.0,54.0,1.0,2.0,1,1993
65000000,11.023042,100.0,8.0,1.0,3.0,3,1998
79000000,29.423537,179.0,39.0,2.0,3.0,5,2002
8000000,0.537378,149.0,4.0,1.0,3.0,3,1969
5800000,0.906143,95.0,45.0,2.0,5.0,1,2006
30000000,11.066473,125.0,18.0,3.0,7.0,3,2002
3500000,5.732016,93.0,63.0,1.0,4.0,2,1990
9000000,10.182974,99.0,22.0,2.0,3.0,2,2016
13000000,9.142772,81.0,55.0,1.0,3.0,4,2002
49000000,30.206365,120.0,6.0,1.0,3.0,2,2015
40000000,10.939066,98.0,67.0,3.0,4.0,1,2003
14500000,9.298092,108.0,8.0,3.0,3.0,3,2001
8500000,5.590678,96.0,15.0,3.0,2.0,1,2013
23000000,7.528276,106.0,10.0,1.0,3.0,4,2016
2700000,10.246132,118.0,72.0,1.0,1.0,1,1979
75000000,11.134888,99.0,19.0,1.0,5.0,2,2004
20000000,8.066726,100.0,22.0,1.0,5.0,3,2015
12000000,4.73816,167.0,9.0,1.0,4.0,3,1960
40000000,6.322435,91.0,18.0,1.0,11.0,1,2012
12000000,10.159713,100.0,16.0,1.0,2.0,3,2017
18000000,4.29831,118.0,17.0,1.0,5.0,1,1986
5000000,17.656951,113.0,27.0,2.0,4.0,3,2002
7000000,11.00913,89.0,22.0,1.0,1.0,4,2003
80000000,9.554067,117.0,8.0,1.0,3.0,1,2010
1000000,3.374229,97.0,17.0,1.0,2.0,4,2001
35000000,10.754139,123.0,15.0,1.0,3.0,3,2016
16000000,8.899418,96.0,5.0,1.0,1.0,3,1990
16000000,14.906621,114.0,23.0,1.0,2.0,3,2012
20000000,9.351557,135.0,10.0,2.0,3.0,2,2007
19000000,15.339153,108.0,14.0,3.0,6.0,3,1996
10400000,8.792104,161.0,18.0,1.0,3.0,1,2016
1500000,0.446454,162.0,5.0,1.0,3.0,3,2015
40000000,0.75571,107.0,10.0,1.0,2.0,3,2016
28000000,5.01752,134.0,113.0,3.0,6.0,3,1997
6000000,7.903956,109.0,60.0,1.0,3.0,4,2008
3000000,11.30324,108.0,13.0,1.0,1.0,2,2013
8000000,10.434018,120.0,26.0,3.0,1.0,1,1982
8000000,5.320117,102.0,38.0,4.0,1.0,3,2006
13000000,5.169999,110.0,96.0,2.0,4.0,3,2006
35000000,13.542675,112.0,8.0,1.0,1.0,1,2013
15000000,20.301019,110.0,16.0,1.0,2.0,2,1986
12000000,7.607052,100.0,16.0,4.0,8.0,1,2015
65000000,10.90061,132.0,7.0,1.0,2.0,2,2001
16000000,12.069966,97.0,6.0,1.0,1.0,2,1999
