budget,popularity,runtime,size_of_cast,number_of_spoken_languages,num_production_companies,genre_Count,release_year
5500000,6.389326,109.0,13.0,1.0,1.0,2,1977
100000,5.113205,193.0,18.0,1.0,3.0,4,2015
700000,2.819298,77.0,11.0,1.0,4.0,1,2007
12000000,7.075534,82.0,14.0,1.0,4.0,1,1987
8575000,16.727405,145.0,12.0,3.0,2.0,3,2016
5000000,10.737565,101.0,68.0,1.0,5.0,3,2004
17000000,5.924226,95.0,35.0,1.0,8.0,1,2004
6000000,8.522673,158.0,31.0,1.0,1.0,4,1961
35000000,10.378902,94.0,15.0,1.0,3.0,3,1993
4500000,14.658885,90.0,20.0,1.0,2.0,3,1982
70000000,10.876463,105.0,14.0,1.0,11.0,2,1999
10000000,10.754997,109.0,11.0,1.0,7.0,3,2016
85000000,9.434006,130.0,16.0,1.0,6.0,3,1993
22000000,8.473369,84.0,13.0,1.0,1.0,2,2001
15000000,14.319743,212.0,16.0,2.0,5.0,3,1959
16000000,5.127876,142.0,14.0,2.0,4.0,2,2016
6000000,7.873407,116.0,16.0,4.0,7.0,1,2016
16000000,12.646518,126.0,15.0,1.0,2.0,4,2004
10000000,4.127728,125.0,24.0,2.0,1.0,3,1970
15000000,6.600651,110.0,22.0,2.0,6.0,2,1991
100000000,19.382082,106.0,38.0,3.0,2.0,2,2005
27000000,14.225919,102.0,16.0,1.0,2.0,3,1984
23000000,7.667579,98.0,17.0,2.0,2.0,1,2008
300000,1.023164,105.0,42.0,1.0,3.0,1,1981
50000000,5.716009,146.0,13.0,3.0,5.0,2,1999
50000000,10.337994,95.0,11.0,2.0,3.0,3,2014
39000000,7.830087,116.0,26.0,3.0,3.0,3,1988
13000000,2.326115,84.0,17.0,1.0,1.0,3,1998
5000000,9.649312,113.0,19.0,1.0,1.0,2,2010
50000000,5.768575,128.0,13.0,1.0,4.0,1,2005
9000000,14.304205,98.0,10.0,1.0,4.0,2,1968
30000000,11.766244,85.0,46.0,1.0,6.0,3,2005
16500000,10.673167,136.0,37.0,1.0,1.0,5,1995
5000000,5.839893,107.0,21.0,1.0,5.0,1,1983
2600000,8.623982,92.0,23.0,1.0,9.0,4,2007
25000000,7.438934,97.0,23.0,2.0,3.0,3,1994
11500000,6.514592,99.0,11.0,1.0,1.0,2,1994
13000000,8.378149,161.0,29.0,1.0,5.0,1,2009
7500000,19.561767,93.0,82.0,1.0,3.0,5,2012
54000000,20.214422,132.0,12.0,1.0,3.0,2,2006
5500000,4.711231,116.0,13.0,2.0,3.0,4,2012
15000000,14.511442,111.0,12.0,1.0,2.0,2,2009
250000000,20.644776,161.0,8.0,1.0,1.0,1,2013
6300000,4.38806,101.0,49.0,2.0,4.0,2,2012
2650000,4.471515,147.0,36.0,2.0,2.0,3,1962
6400000,1.82294,151.0,28.0,1.0,1.0,3,2010
6000000,7.510159,107.0,49.0,1.0,2.0,3,2014
4200000,8.233168,114.0,32.0,1.0,2.0,4,1984
135000000,13.89018,121.0,14.0,1.0,1.0,1,2005
10000000,5.024459,77.0,8.0,4.0,2.0,3,2002
28000000,13.570264,103.0,15.0,1.0,2.0,1,2013
25000000,3.643468,117.0,14.0,1.0,3.0,3,1998
2500000,5.490505,106.0,22.0,2.0,1.0,3,1955
125000000,15.049695,124.0,6.0,1.0,1.0,2,2004
25000000,11.109932,99.0,23.0,1.0,3.0,2,1986
26000000,13.003122,91.0,43.0,1.0,2.0,1,2009
160000000,287.253654,129.0,12.0,1.0,2.0,3,2017
1271000,7.441117,81.0,12.0,1.0,3.0,2,1955
40000000,16.453573,114.0,13.0,1.0,5.0,2,2016
113000000,13.165421,140.0,21.0,1.0,2.0,4,2005
35000000,5.370818,102.0,12.0,1.0,6.0,2,2003
30000000,8.587129,108.0,19.0,3.0,2.0,4,2002
5000000,13.524048,112.0,31.0,1.0,1.0,2,2014
12000000,17.788579,94.0,8.0,2.0,1.0,3,2013
6000000,11.732546,137.0,13.0,1.0,3.0,4,2015
40000000,9.420931,102.0,8.0,2.0,3.0,3,2016
25000000,7.409179,94.0,49.0,4.0,2.0,5,1986
5000000,15.021058,94.0,17.0,1.0,4.0,3,2015
11000000,18.344227,95.0,52.0,1.0,3.0,2,1999
2053648,2.691433,102.0,7.0,1.0,1.0,3,1999
85000000,11.057536,167.0,47.0,2.0,3.0,2,2006
1000000,17.911314,112.0,14.0,1.0,2.0,4,1954
1200000,2.017413,113.0,9.0,2.0,1.0,2,1978
90000000,14.753545,127.0,9.0,1.0,1.0,1,2014
3000000,6.409512,146.0,12.0,1.0,1.0,3,1960
40000000,13.876881,120.0,125.0,1.0,1.0,3,2006
80000000,14.987902,132.0,24.0,2.0,1.0,1,2005
9250000,2.132964,125.0,12.0,1.0,1.0,3,1979
22000000,6.303785,108.0,20.0,1.0,4.0,3,2010
27000000,1.408176,132.0,34.0,1.0,4.0,3,1992
800000,7.137026,94.0,15.0,1.0,4.0,2,2003
11000000,4.08938,100.0,18.0,1.0,2.0,3,1993
50000000,30.121292,130.0,15.0,1.0,3.0,2,2009
50000000,16.838145,114.0,4.0,4.0,3.0,3,2015
30000000,9.058516,129.0,65.0,1.0,2.0,1,2007
14000000,0.825638,112.0,14.0,1.0,2.0,1,1980
103000000,8.18534,102.0,25.0,1.0,1.0,3,2014
4000000,5.032469,108.0,10.0,1.0,5.0,2,1967
4000000,6.314697,121.0,38.0,3.0,4.0,4,2002
150000000,26.024868,108.0,18.0,2.0,1.0,3,2016
40000000,12.337898,89.0,14.0,1.0,1.0,5,1992
8250000,11.840985,171.0,24.0,3.0,4.0,5,1951
8000000,1.194377,91.0,21.0,1.0,2.0,1,1988
40000000,14.384554,134.0,47.0,1.0,4.0,3,2016
40000000,15.010525,124.0,26.0,1.0,3.0,5,2005
967686,11.934045,101.0,3.0,2.0,1.0,3,2010
35000000,10.794556,92.0,17.0,1.0,4.0,2,2010
12000000,15.297121,96.0,49.0,7.0,2.0,3,1982
14000000,11.090265,112.0,28.0,5.0,6.0,2,2007
6000000,9.023686,96.0,24.0,2.0,2.0,3,2015
25000000,7.257679,107.0,25.0,1.0,3.0,3,1999
30000000,6.734065,103.0,31.0,1.0,3.0,4,2005
50000000,9.91556,92.0,19.0,1.0,3.0,1,2008
4500000,11.578578,104.0,27.0,1.0,1.0,2,1980
6000000,10.505387,97.0,9.0,2.0,3.0,3,1999
80000000,7.210383,88.0,12.0,1.0,14.0,1,2008
23000000,9.604552,124.0,19.0,1.0,2.0,5,2007
6500000,9.369527,92.0,19.0,3.0,1.0,2,2005
15000000,7.844705,95.0,31.0,1.0,1.0,3,2014
2000000,9.02255,137.0,11.0,1.0,4.0,2,2006
200000000,26.114917,116.0,10.0,1.0,3.0,2,2013
105000000,7.291872,114.0,22.0,1.0,4.0,2,2015
40000000,6.159379,107.0,20.0,3.0,2.0,3,2012
20000000,16.205105,113.0,24.0,2.0,6.0,2,2007
16000000,2.549325,105.0,21.0,1.0,3.0,2,1988
50000000,10.223582,139.0,7.0,2.0,2.0,1,2016
9000000,2.089842,135.0,16.0,2.0,2.0,1,2009
130000000,9.566135,165.0,35.0,1.0,6.0,2,2008
150000000,15.884744,103.0,6.0,1.0,1.0,2,2016
22500000,18.908782,116.0,48.0,3.0,3.0,2,2016
5000000,8.645067,87.0,35.0,1.0,6.0,3,2017
13000000,4.654312,123.0,29.0,3.0,3.0,3,2016
40000000,13.689855,108.0,13.0,1.0,1.0,5,1989
2500000,2.296734,95.0,10.0,1.0,1.0,3,1993
19000000,8.385361,95.0,27.0,1.0,1.0,2,2004
1601792,2.329513,96.0,47.0,1.0,4.0,2,2005
94000000,6.587711,145.0,36.0,1.0,4.0,5,2011
1300000,5.184013,99.0,23.0,1.0,2.0,4,1971
40000000,17.496832,83.0,11.0,2.0,6.0,4,1989
13000000,10.890236,83.0,115.0,1.0,2.0,3,2000
40000000,2.947411,93.0,13.0,2.0,9.0,3,2002
25000000,14.141837,116.0,10.0,1.0,1.0,1,2010
13000000,24.515462,90.0,13.0,1.0,3.0,3,1991
110000000,16.747793,117.0,8.0,1.0,4.0,3,2010
5000000,8.585856,108.0,41.0,1.0,5.0,3,2015
3000000,12.822085,94.0,6.0,1.0,1.0,2,2016
7000000,3.18614,108.0,23.0,3.0,2.0,2,2010
15000000,11.179855,83.0,27.0,1.0,2.0,2,1973
20000000,10.605851,72.0,105.0,4.0,1.0,2,2003
14000000,11.535478,119.0,17.0,1.0,4.0,3,2012
3000000,7.351028,100.0,38.0,4.0,3.0,1,2001
75000000,18.311054,121.0,38.0,2.0,9.0,3,2016
42000000,9.874043,124.0,34.0,5.0,2.0,3,1999
33000000,11.840557,98.0,25.0,1.0,2.0,3,1998
15000000,3.94159,95.0,31.0,2.0,3.0,3,2006
50000000,12.229381,97.0,5.0,1.0,1.0,1,1996
32000000,11.119707,96.0,7.0,1.0,1.0,2,2005
12000000,9.592265,92.0,22.0,1.0,6.0,3,1996
100000,1.522753,90.0,24.0,1.0,2.0,3,1972
1000000,2.678923,107.0,13.0,2.0,2.0,2,2001
4000000,5.350658,99.0,6.0,1.0,1.0,3,2013
886000,6.507597,103.0,11.0,1.0,2.0,3,1936
50000000,9.082538,107.0,16.0,3.0,1.0,2,2004
110000000,8.555544,76.0,29.0,1.0,2.0,3,2004
2700000,7.048957,80.0,9.0,1.0,4.0,1,2004
3860000,8.959821,130.0,9.0,1.0,2.0,5,2013
10000000,3.759301,89.0,28.0,1.0,1.0,1,2015
54000000,11.415316,121.0,16.0,1.0,5.0,3,2003
500000,0.892007,78.0,29.0,1.0,3.0,3,2009
6000000,2.447359,139.0,11.0,1.0,5.0,3,1976
12000000,8.032616,110.0,21.0,1.0,3.0,3,2008
150000000,28.505341,140.0,114.0,3.0,2.0,5,2005
14500000,5.892859,82.0,16.0,3.0,4.0,2,2003
30000000,10.778028,98.0,49.0,1.0,3.0,2,2011
150000000,29.36178,120.0,55.0,1.0,4.0,3,2015
4000000,5.296777,86.0,6.0,3.0,3.0,2,1988
10721568,1.68625,122.0,88.0,2.0,5.0,5,2016
20000000,5.219667,85.0,6.0,2.0,1.0,4,2013
355000,7.503126,72.0,30.0,1.0,9.0,3,1931
54000000,17.185349,162.0,11.0,4.0,3.0,4,1990
20000000,16.01076,120.0,14.0,1.0,4.0,2,2016
24000000,2.818802,102.0,30.0,1.0,1.0,2,1997
6400000,1.856101,140.0,27.0,1.0,2.0,3,2013
6000000,9.424157,121.0,19.0,1.0,4.0,1,2006
15000000,2.936443,90.0,23.0,8.0,4.0,4,1996
2196531,0.947509,107.0,13.0,1.0,7.0,3,2005
7000000,11.37237,109.0,29.0,1.0,1.0,2,2003
59000000,17.328902,81.0,47.0,4.0,2.0,4,2002
9750000,11.387338,99.0,21.0,2.0,2.0,2,2008
13000000,5.53202,115.0,27.0,1.0,2.0,3,1988
24000000,4.197544,89.0,12.0,2.0,1.0,2,2001
17000000,12.01525,91.0,7.0,1.0,3.0,2,2013
50000000,5.91265,114.0,47.0,1.0,1.0,2,2006
151000,1.879162,91.0,45.0,2.0,5.0,3,1960
88000000,6.363884,144.0,16.0,3.0,3.0,2,2005
31000000,15.672195,125.0,13.0,1.0,3.0,2,2006
4000000,6.737142,85.0,13.0,1.0,6.0,1,2007
50000000,6.752119,135.0,12.0,2.0,3.0,4,1995
15000000,16.018525,100.0,7.0,1.0,3.0,3,2013
36000000,7.926621,95.0,14.0,3.0,4.0,3,1997
50000000,9.995617,84.0,43.0,1.0,3.0,2,2011
13000000,11.29356,93.0,20.0,4.0,4.0,2,2013
7700000,6.914615,123.0,21.0,1.0,7.0,3,2011
200000000,17.285093,108.0,13.0,1.0,1.0,3,2010
57000000,9.421301,95.0,8.0,1.0,2.0,2,2011
25000000,14.31675,117.0,15.0,2.0,4.0,2,2012
20000000,10.680121,128.0,16.0,1.0,1.0,4,2008
5000000,6.719949,95.0,12.0,1.0,6.0,1,2002
37000000,10.722672,110.0,22.0,1.0,1.0,3,1986
25000000,6.570918,100.0,28.0,1.0,1.0,3,1999
50000000,6.824871,113.0,8.0,1.0,3.0,4,2001
12000000,14.21769,104.0,15.0,2.0,2.0,2,2006
20000000,8.157587,121.0,28.0,1.0,1.0,3,1985
12000000,1.323587,185.0,13.0,3.0,1.0,5,2007
20000000,11.112153,93.0,17.0,1.0,3.0,3,2012
185000000,12.577266,122.0,14.0,1.0,6.0,2,2008
100000000,13.473381,90.0,11.0,1.0,1.0,2,2005
16000000,8.34322,96.0,15.0,2.0,2.0,2,1989
250000000,20.58258,165.0,27.0,1.0,2.0,3,2012
31000000,14.004074,161.0,17.0,1.0,1.0,3,1985
9600000,6.133745,121.0,26.0,1.0,1.0,2,2015
3500000,1.333969,105.0,7.0,2.0,4.0,3,2016
25000000,11.829231,105.0,15.0,2.0,3.0,4,2013
50000000,7.66124,121.0,29.0,2.0,5.0,4,1997
9000000,8.475983,120.0,10.0,1.0,2.0,4,2016
6500000,8.344282,98.0,13.0,1.0,3.0,2,1999
940000,0.739665,138.0,36.0,1.0,1.0,3,2015
5000000,6.585405,96.0,17.0,2.0,4.0,3,1989
7000000,7.218957,127.0,6.0,1.0,3.0,3,1991
5000000,7.392294,91.0,25.0,4.0,2.0,2,2014
40000000,7.473718,123.0,22.0,1.0,2.0,2,1999
195000000,11.606061,114.0,21.0,2.0,9.0,2,2013
5000000,9.841623,116.0,53.0,1.0,1.0,2,1981
28000000,10.445141,102.0,19.0,1.0,2.0,2,2003
143149,0.091951,94.0,6.0,3.0,3.0,2,2015
57000000,11.626116,115.0,15.0,1.0,1.0,2,1993
163000000,10.958669,119.0,53.0,1.0,2.0,3,2011
40000000,49.247505,122.0,45.0,1.0,4.0,3,2017
1500000,5.875708,90.0,13.0,2.0,3.0,3,2012
558000,1.41344,89.0,1.0,2.0,3.0,1,1931
8000000,5.052049,112.0,22.0,1.0,1.0,1,2006
180000000,19.467404,97.0,15.0,1.0,7.0,6,2014
2000000,12.792394,85.0,16.0,1.0,6.0,2,2014
16000000,4.136356,120.0,14.0,1.0,2.0,2,2009
35000000,4.386145,114.0,19.0,2.0,2.0,5,2008
100000000,12.845045,103.0,47.0,1.0,11.0,4,2010
44000000,11.924462,96.0,11.0,1.0,1.0,3,1985
13000000,1.884204,100.0,78.0,1.0,2.0,3,1986
40000000,5.996407,120.0,15.0,2.0,1.0,2,1992
25530000,4.557006,95.0,45.0,1.0,2.0,3,1996
17000000,7.812646,111.0,21.0,2.0,4.0,3,2012
13000000,5.138409,95.0,15.0,1.0,3.0,5,2012
2600000,3.501564,103.0,18.0,1.0,4.0,2,2004
50000000,10.246173,118.0,21.0,1.0,6.0,3,2011
250000000,19.083723,153.0,11.0,1.0,4.0,4,2009
19000000,9.262184,118.0,11.0,1.0,1.0,3,1995
11000000,8.888718,101.0,13.0,2.0,3.0,4,2011
800000,11.322173,121.0,18.0,2.0,3.0,1,1966
25000000,9.304901,93.0,16.0,1.0,3.0,2,1997
3000000,5.254847,106.0,16.0,1.0,1.0,2,1994
60000000,6.22229,91.0,7.0,3.0,9.0,1,2008
80000000,14.75562,103.0,11.0,2.0,3.0,2,2010
4200000,2.031919,146.0,44.0,1.0,2.0,2,2014
13000000,14.90169,112.0,3.0,1.0,2.0,3,2013
8500000,12.421754,138.0,16.0,1.0,2.0,3,1976
11000000,9.659244,106.0,59.0,2.0,2.0,1,2014
17000000,16.574021,96.0,7.0,1.0,4.0,1,1982
20000000,8.16645,88.0,12.0,1.0,5.0,2,2010
80000000,9.034884,126.0,11.0,1.0,4.0,1,2000
11000000,5.010563,0.0,21.0,1.0,3.0,3,2011
60000000,9.471838,148.0,20.0,1.0,1.0,4,1999
80000000,8.967638,113.0,37.0,1.0,4.0,4,1999
1000000,1.795849,94.0,52.0,1.0,3.0,4,2000
6700000,4.987123,96.0,15.0,1.0,2.0,3,2016
26000000,11.890138,115.0,15.0,1.0,2.0,2,1990
35000000,13.963892,118.0,10.0,1.0,2.0,3,2013
19000000,2.727017,117.0,32.0,1.0,2.0,3,1989
31000000,14.505987,157.0,25.0,1.0,3.0,4,1992
20000000,4.15656,84.0,5.0,1.0,3.0,1,2003
609000,7.122093,101.0,15.0,4.0,2.0,3,1935
22000000,9.763928,115.0,25.0,1.0,7.0,2,1984
6000000,4.664474,141.0,10.0,1.0,3.0,3,2004
15000000,9.285519,120.0,15.0,1.0,2.0,2,2016
1200000,23.508433,103.0,40.0,1.0,2.0,5,2004
60000000,6.504927,92.0,9.0,1.0,2.0,2,2003
6788000,7.88101,103.0,15.0,2.0,2.0,1,1991
10500000,8.253705,100.0,13.0,1.0,6.0,3,2014
20000000,10.448481,106.0,14.0,1.0,1.0,2,1995
1000000,10.766409,104.0,12.0,3.0,2.0,4,2013
73000000,8.884406,118.0,18.0,1.0,6.0,1,1999
2000000,0.717595,90.0,11.0,3.0,5.0,5,2006
3000000,8.122042,86.0,27.0,1.0,6.0,3,1986
25000000,11.338194,130.0,10.0,2.0,4.0,2,1993
35000000,17.310647,125.0,74.0,1.0,2.0,2,2015
17000000,11.03595,112.0,6.0,1.0,1.0,1,2012
12000000,5.914833,114.0,24.0,4.0,2.0,2,1993
9200000,0.882864,157.0,31.0,1.0,2.0,2,2013
40000000,12.589019,99.0,10.0,1.0,2.0,4,2006
27000000,9.644085,109.0,66.0,1.0,3.0,3,2009
30000000,12.727269,118.0,19.0,2.0,2.0,3,2012
10000000,6.703892,92.0,33.0,1.0,3.0,3,2016
75000000,12.287636,114.0,28.0,1.0,1.0,1,1999
4000000,10.714173,94.0,63.0,2.0,1.0,4,1979
32000000,14.958098,111.0,65.0,1.0,1.0,4,2009
137731,1.78367,83.0,15.0,3.0,1.0,2,1997
53000000,8.657365,116.0,7.0,1.0,3.0,2,1995
1800000,5.550496,93.0,65.0,1.0,8.0,1,2012
2000000,7.636625,90.0,28.0,1.0,1.0,2,2008
5000000,7.66414,106.0,5.0,1.0,1.0,2,2004
15000000,6.617708,115.0,23.0,1.0,6.0,3,2014
280379,8.913793,90.0,38.0,1.0,4.0,3,1966
30000000,8.599342,92.0,18.0,2.0,2.0,3,2006
135000000,13.047776,112.0,10.0,1.0,2.0,3,2016
40000000,6.475665,130.0,21.0,2.0,3.0,4,2011
56000000,7.81645,95.0,15.0,1.0,5.0,2,2005
100000000,18.932203,131.0,23.0,1.0,4.0,1,2004
2000000,3.462653,123.0,22.0,1.0,2.0,4,2008
14000000,14.260779,119.0,15.0,2.0,3.0,3,1987
15000000,10.527141,111.0,14.0,2.0,3.0,6,2006
5000000,8.466725,97.0,59.0,1.0,1.0,1,2006
60000000,12.789812,130.0,19.0,1.0,1.0,2,2012
68000000,10.466306,121.0,19.0,2.0,1.0,4,1999
50000000,4.909738,114.0,18.0,2.0,2.0,2,1997
17000000,6.590093,98.0,4.0,1.0,3.0,2,2009
2500000,3.750365,90.0,17.0,1.0,4.0,3,2008
55000000,15.214342,94.0,15.0,1.0,2.0,2,2011
40000000,12.189038,130.0,62.0,1.0,3.0,2,1987
23000000,11.076971,163.0,10.0,3.0,3.0,3,1987
1200000,0.584397,85.0,14.0,1.0,3.0,5,2000
180000000,18.13542,143.0,15.0,2.0,3.0,4,2005
85000000,12.16276,122.0,19.0,2.0,2.0,3,2007
12000000,7.594102,84.0,22.0,1.0,6.0,4,2004
6500000,8.254209,114.0,30.0,1.0,3.0,2,1976
2900000,4.919716,113.0,13.0,1.0,1.0,3,1998
20000000,6.496913,108.0,21.0,2.0,2.0,3,2007
4500000,6.874828,102.0,22.0,1.0,7.0,1,2000
4500000,8.786269,95.0,26.0,1.0,3.0,4,2010
800000,7.974726,91.0,18.0,3.0,6.0,4,2009
20000000,3.782547,96.0,19.0,1.0,3.0,3,1980
7000000,6.868022,95.0,72.0,1.0,2.0,3,2014
25000000,7.308162,83.0,14.0,1.0,2.0,3,2001
15000000,13.183804,110.0,36.0,2.0,6.0,4,1987
15000000,4.643981,88.0,16.0,5.0,5.0,1,2002
11000000,7.915368,95.0,11.0,1.0,1.0,3,2006
15000000,14.14078,108.0,12.0,2.0,5.0,1,2015
5000000,1.962873,90.0,10.0,1.0,2.0,2,2014
6000000,41.109264,175.0,16.0,1.0,5.0,5,1972
85000000,14.043416,136.0,25.0,1.0,3.0,5,2006
58000000,14.686036,130.0,19.0,1.0,1.0,1,1995
10000000,5.13955,93.0,11.0,1.0,3.0,1,2000
12000000,2.162781,90.0,17.0,1.0,2.0,6,2015
38000000,8.898988,110.0,29.0,1.0,2.0,3,2016
15000000,3.96986,96.0,26.0,2.0,1.0,1,1989
27000000,3.104943,124.0,19.0,1.0,9.0,2,1999
30000000,7.645827,113.0,11.0,1.0,2.0,1,2002
13500000,8.969705,90.0,14.0,1.0,2.0,3,2016
7200000,5.553737,99.0,15.0,2.0,3.0,3,1987
20000000,8.801032,100.0,33.0,2.0,3.0,2,2013
95000000,15.297821,102.0,103.0,1.0,3.0,2,2014
9000000,19.827546,87.0,20.0,1.0,1.0,1,1988
42000000,11.214779,90.0,12.0,1.0,1.0,4,2017
5600000,8.853168,85.0,7.0,1.0,2.0,2,2009
17000000,10.250997,105.0,13.0,1.0,3.0,2,2011
14000000,9.781451,125.0,22.0,2.0,1.0,1,1977
40000000,13.02535,86.0,14.0,1.0,1.0,3,1998
40000000,12.520688,114.0,26.0,1.0,2.0,2,2001
62000000,6.318445,106.0,30.0,2.0,3.0,5,1995
39000000,10.296047,87.0,8.0,3.0,3.0,3,2012
8500000,9.099731,97.0,68.0,5.0,3.0,6,1987
4000000,8.16339,96.0,9.0,1.0,5.0,3,2006
8000000,6.040486,98.0,16.0,1.0,2.0,2,1985
44000000,11.342024,125.0,15.0,1.0,2.0,2,2013
105000000,20.151037,100.0,61.0,2.0,3.0,2,2016
60000000,13.214068,104.0,15.0,1.0,1.0,3,2001
220000000,89.887648,143.0,17.0,1.0,3.0,2,2012
75000000,7.116537,99.0,32.0,2.0,3.0,2,1999
350000,10.421679,85.0,59.0,1.0,1.0,1,1981
2600000,11.600224,91.0,21.0,2.0,2.0,2,1993
3537415,9.117054,162.0,17.0,3.0,1.0,1,2016
100000000,9.615691,121.0,96.0,1.0,3.0,1,2005
2000000,6.536006,118.0,63.0,1.0,8.0,4,1999
26000000,6.866634,99.0,15.0,1.0,3.0,2,1994
22000000,6.760321,116.0,61.0,2.0,5.0,4,2013
100000,8.003815,96.0,22.0,1.0,2.0,1,2013
20000000,39.39497,116.0,15.0,2.0,3.0,1,1997
19000000,10.874079,95.0,25.0,1.0,2.0,3,1988
878000,13.916101,102.0,20.0,1.0,1.0,3,1942
12000000,6.829528,98.0,15.0,4.0,1.0,1,2006
17000000,11.454835,97.0,43.0,6.0,10.0,1,2004
300000,7.90622,88.0,15.0,1.0,1.0,1,2012
2000000,9.551293,153.0,1.0,2.0,3.0,1,1962
150000000,5.587707,144.0,14.0,1.0,4.0,1,2007
22000000,7.719173,175.0,16.0,2.0,2.0,4,1977
8000000,8.762536,95.0,15.0,1.0,1.0,2,2007
27000000,9.848674,117.0,7.0,2.0,3.0,0,1983
3200000,6.72639,105.0,21.0,3.0,1.0,6,2010
300000,1.687901,88.0,13.0,1.0,6.0,3,2005
3500000,6.261686,96.0,20.0,2.0,3.0,3,2012
90000000,10.338222,106.0,110.0,1.0,4.0,4,2013
32000000,9.796962,93.0,24.0,1.0,5.0,3,2011
13000000,15.295949,125.0,5.0,1.0,3.0,4,2006
3400000,5.101153,94.0,14.0,1.0,1.0,1,1977
19000000,1.418221,93.0,11.0,1.0,1.0,3,1993
30000000,6.34785,105.0,25.0,1.0,3.0,3,1993
16000000,7.404835,124.0,31.0,1.0,2.0,3,2007
1250000,14.605464,92.0,15.0,1.0,1.0,3,1953
10000000,17.046052,97.0,9.0,1.0,2.0,3,2016
3250000,1.393391,107.0,34.0,5.0,1.0,3,2006
4000000,16.861533,77.0,37.0,1.0,3.0,1,1953
30000000,13.371056,92.0,17.0,1.0,3.0,1,2012
18000000,9.309967,117.0,6.0,1.0,2.0,2,2007
80000000,10.796939,129.0,14.0,1.0,4.0,3,2004
10500000,11.548303,99.0,12.0,1.0,3.0,2,2016
85000000,11.03897,88.0,27.0,2.0,2.0,2,2008
90000000,24.30526,126.0,90.0,1.0,1.0,2,1997
9000000,7.720692,102.0,16.0,1.0,1.0,1,2012
12000000,16.274653,125.0,11.0,1.0,3.0,2,2014
747000,2.775402,107.0,15.0,1.0,2.0,1,1968
1119000,0.948775,103.0,3.0,1.0,2.0,1,1936
20000000,9.830382,109.0,24.0,1.0,4.0,3,2013
15000000,7.603652,97.0,15.0,1.0,1.0,4,1997
10000000,3.492576,89.0,13.0,1.0,5.0,1,2002
100000000,11.174041,115.0,19.0,1.0,3.0,2,2010
30000000,7.566321,124.0,10.0,2.0,3.0,2,1998
5000000,1.845554,99.0,4.0,1.0,3.0,3,2014
13000000,7.17548,119.0,3.0,1.0,1.0,3,2010
25000000,14.723646,117.0,10.0,1.0,1.0,3,2013
62000000,7.879924,116.0,6.0,1.0,1.0,2,2000
6000000,10.124544,99.0,15.0,4.0,3.0,1,1981
23000000,9.327986,89.0,17.0,1.0,2.0,3,1987
6000000,14.044122,100.0,15.0,1.0,3.0,1,1987
10000000,14.014025,103.0,16.0,1.0,3.0,4,2000
52000000,6.906145,112.0,13.0,1.0,1.0,2,2011
18000000,4.558075,338.0,56.0,1.0,5.0,2,2010
5000000,9.069963,135.0,15.0,1.0,4.0,3,1996
55000000,14.178281,108.0,16.0,1.0,3.0,3,2000
7000000,4.896196,101.0,20.0,2.0,1.0,3,2010
5000000,4.800426,106.0,41.0,2.0,2.0,4,2008
15000000,7.942084,94.0,4.0,1.0,1.0,1,2016
200000000,13.693002,106.0,5.0,1.0,1.0,2,2011
